,MATICUSDT,STXUSDT,Spread,ZScore
39,1.1559,0.72845,-0.03875800000000007,2.379620925529766
40,1.1641,0.72887,-0.03124680000000013,2.2961877853983204
41,1.1507,0.71747,-0.02595079999999994,2.1413027922619743
42,1.1443,0.69604,0.0027944000000001967,2.6550611736239382
43,1.1402,0.68763,0.012486800000000242,2.4168536416541677
44,1.1459,0.68413,0.023926799999999915,2.285162140691669
45,1.1431,0.68133,0.025718800000000153,2.004510056419381
46,1.1371,0.67355,0.03247800000000001,1.8759807880740222
47,1.1441,0.691,0.010860000000000092,1.226274702822296
48,1.1321,0.6731,0.02821600000000002,1.4592657942566647
49,1.1456,0.68352,0.02462720000000007,1.241890654832181
50,1.1335,0.67328,0.029320800000000036,1.2165598978351262
51,1.1333,0.6619,0.04778400000000005,1.4536128299522157
52,1.1288,0.66488,0.03839680000000012,1.1554015701006577
53,1.1223,0.6644,0.03268400000000016,0.9454666415078767
54,1.1328,0.6633,0.04498800000000003,1.1361173599932206
55,1.1497,0.67544,0.04197839999999986,0.9972344667764684
56,1.1514,0.66858,0.05492880000000011,1.2448245546537653
57,1.1442,0.66062,0.06078320000000015,1.3147873282682296
58,1.1401,0.66134,0.05550239999999995,1.1133269217634054
59,1.14,0.66155,0.05505800000000005,1.052957292892711
60,1.1394,0.66719,0.04520840000000015,0.652978027360835
61,1.1236,0.65967,0.04174119999999992,0.4464161327759944
62,1.1255,0.66071,0.04193559999999996,0.3921100355278359
63,1.1172,0.65427,0.04419719999999994,0.4658270687914496
64,1.1205,0.65163,0.05182679999999995,0.9479012593379961
65,1.1221,0.64541,0.0636276,1.6554830372547262
66,1.1293,0.65145,0.06092200000000014,1.3149293482919477
67,1.1245,0.65503,0.05025080000000015,0.4658259520732486
68,1.1157,0.64513,0.05768679999999993,1.0138245804319779
69,1.092,0.63308,0.05374880000000015,0.5924370077237815
70,1.0883,0.62386,0.06516960000000016,1.5965237680312905
71,1.0998,0.63429,0.059564400000000184,0.9727123267992037
72,1.0915,0.62756,0.06230160000000007,1.161516547393953
73,1.0796,0.62913,0.04782679999999995,-0.4735020326211971
74,1.0701,0.61521,0.06115559999999998,0.9977041440787907
75,1.0764,0.60782,0.07957520000000007,2.6020348876102317
76,1.0831,0.6285,0.052360000000000184,-0.34859573366595525
77,1.0737,0.62944,0.04141840000000019,-1.4137167666595265
78,1.0496,0.62059,0.031832400000000094,-2.035579727299542
79,1.0509,0.62546,0.02514559999999988,-2.1894890627371217
80,1.0551,0.60783,0.058258800000000055,0.4928545452170417
81,1.0594,0.6022,0.07179200000000008,1.4184497031363237
82,1.0691,0.61399,0.06215639999999989,0.605725088605263
83,1.0637,0.6536,-0.008203999999999878,-3.240232936274923
84,1.0584,0.64347,0.003109200000000145,-2.1941489403527177
85,1.0548,0.635,0.013400000000000079,-1.525460873229234
86,1.0625,0.632,0.026020000000000154,-0.8865088448814297
87,1.0529,0.60965,0.053073999999999955,0.3059718941023727
88,1.0441,0.61334,0.03822239999999999,-0.31796630643100743
89,1.045,0.61295,0.039762000000000075,-0.21482651586241852
90,1.045,0.61452,0.037187199999999976,-0.29386663119035566
91,1.0568,0.62758,0.02756880000000006,-0.6464967180147113
92,1.0497,0.6227,0.028472000000000053,-0.5447799942177352
93,1.0759,0.6376,0.03023600000000015,-0.4054049793534646
94,1.0746,0.64217,0.021441199999999938,-0.7437135296537009
95,1.0714,0.63698,0.02675279999999991,-0.43891885079523457
96,1.0666,0.62626,0.03953359999999995,0.2766203157779185
97,1.0668,0.62805,0.03679800000000011,0.17600338964473225
98,1.0455,0.61187,0.042033200000000104,0.45542138405587923
99,1.0207,0.59781,0.040291600000000094,0.3393171417639255
100,0.9809,0.58819,0.01626840000000007,-0.909453715368074
101,0.9974,0.58958,0.030488799999999983,-0.09496403021888673
102,1.0058,0.59136,0.035969600000000046,0.34728168072184995
103,1.0155,0.5914,0.04560400000000009,1.1007107771001823
104,0.9998,0.5914,0.02990400000000004,-0.14101625171696802
105,1.0073,0.57678,0.061380800000000235,2.383071797421923
106,1.0015,0.57255,0.06251800000000007,2.1767378513114743
107,1.014,0.56821,0.08213560000000009,2.81351548921162
108,1.0094,0.5655,0.08198000000000016,2.3405110381608383
109,1.0121,0.57055,0.07639800000000008,1.7589949451112434
110,0.9912,0.55782,0.07637520000000009,1.5582508693253938
111,0.9974,0.55601,0.08554360000000005,1.739901470968186
112,0.9882,0.55995,0.06988200000000011,0.9464151083904002
113,0.9536,0.5452,0.05947200000000008,0.42553654242699557
114,0.9549,0.5274,0.08996400000000004,1.5923658396079008
115,0.9767,0.53435,0.10036600000000007,1.7991242851971498
116,0.9875,0.54345,0.09624200000000016,1.4659302208207399
117,1.0205,0.5632,0.09685199999999994,1.3379728183561495
118,1.002,0.5499,0.10016399999999992,1.3222660721583401
119,1.0405,0.57243,0.1017148,1.2469754487482636
120,1.037,0.57826,0.0886536,0.6816119275502155
121,1.0293,0.58318,0.07288480000000008,-0.028891912246813898
