,MATICUSDT,STXUSDT,Spread,ZScore
184,0.9998,0.5914,0.09495799999999999,-0.40502395851089423
185,1.0073,0.57678,0.12482660000000012,2.1939533017333988
186,1.0015,0.57255,0.12549850000000007,2.005702923185249
187,1.014,0.56821,0.1446387,2.782494999752659
188,1.0094,0.5655,0.144185,2.321743150376308
189,1.0121,0.57055,0.13915849999999996,1.7467352522275215
190,0.9912,0.55782,0.13773539999999995,1.4867085742344148
191,0.9974,0.55601,0.1467046999999999,1.7180674303869472
192,0.9882,0.55995,0.1314765,0.8713162896082488
193,0.9536,0.5452,0.119444,0.22358611919515195
194,0.9549,0.5274,0.14797799999999994,1.4826353906109873
195,0.9767,0.53435,0.15914450000000002,1.7767406654062678
196,0.9875,0.54345,0.15602150000000004,1.4628200398421773
197,1.0205,0.5632,0.15880399999999995,1.4164219849286233
198,1.002,0.5499,0.16065299999999993,1.342445916265937
199,1.0078,0.55344,0.16103679999999998,1.2257526516153754
